"Sport","X16.24.Male","X16.24.Female","X25.39.Male","X25.39.Female","X40.59.Male","X40.59.Female","X60..Male","X60..Female","Male","Female","X16.24","X25.39","X40.59","X60.","total","ABC1.social.grade","C2DE.social.grade","England","Wales.x","Scotland.x","Northern.Ireland.x","North","Midlands","East","London","South","Wales.y","Scotland.y","Northern.Ireland.y","Con.vote","Lab.vote","Lib.dem.vote","Interested.in.sports","Not.interested.in.sports","Play.a.sport.Monthly","Play.a.sport.A.few.times.a.year.or.less","Play.a.sport.Never","Interested.in.Olympics.Games","Not.interested.in.Olympics.Games","Closely.watching.Olympics.Games","Not.closely.Olympics.Games","doping.Is.a.big.problem","doping.Is.not.a.big.problem"
"American football",0.02,0,0.01,0.02,0,0,0,0,0.01,0,0.01,0.01,0,0,0.01,0,0.01,0.01,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0.03,0.02,0.03,0.02,0.03,0.02,0,0,0.01,0.01,0,0,0.01
"Athletics (track and field)",0.07,0.06,0.05,0.04,0.05,0.03,0,0,0.05,0.03,0.07,0.05,0.04,0,0.04,0.05,0.03,0.04,0.02,0.03,0,0.04,0.07,0.07,0.05,0.01,0.02,0.03,0,0.02,0.03,0.04,0.05,0.01,0.05,0.03,0,0.05,0.01,0.05,0.03,0.05,0.04
"Badminton",0.12,0.19,0.11,0.13,0.09,0.11,0.04,0.17,0.1,0.15,0.15,0.12,0.1,0.09,0.12,0.12,0.11,0.12,0.05,0.07,0.12,0.08,0.15,0.17,0.13,0.12,0.05,0.07,0.12,0.1,0.17,0.07,0.13,0.09,0.14,0.07,0,0.11,0.13,0.12,0.11,0.12,0.13
"Baseball/Softball",0.02,0.01,0.01,0.01,0.01,0,0,0,0.01,0,0.02,0.01,0.01,0,0.01,0.01,0.01,0.01,0.02,0.02,0,0.01,0.01,0,0.02,0,0.02,0.02,0,0,0.01,0.02,0.01,0.02,0.02,0,0,0.01,0,0.01,0,0.01,0.01
"Basketball",0.11,0.08,0.1,0.02,0.03,0.02,0,0,0.07,0.03,0.1,0.08,0.03,0,0.06,0.04,0.08,0.05,0.11,0.05,0.14,0.03,0.04,0.07,0.09,0.05,0.11,0.05,0.14,0.06,0.04,0.03,0.07,0,0.09,0.01,0,0.07,0.02,0.07,0.04,0.05,0.04
"Bowls and/or boules",0,0.02,0.03,0.01,0.02,0.05,0.07,0.12,0.03,0.04,0.01,0.02,0.04,0.09,0.03,0.04,0.03,0.03,0.08,0.09,0,0.05,0.02,0.01,0.03,0.03,0.05,0.09,0,0.03,0.03,0.02,0.04,0.02,0.04,0.03,0,0.04,0.03,0.04,0.03,0.04,0.02
"Boxing",0.06,0.03,0.04,0.01,0.02,0,0,0,0.03,0.01,0.05,0.03,0.01,0,0.02,0.02,0.03,0.02,0.04,0.02,0,0.03,0.01,0,0.04,0.02,0.04,0.02,0,0.2,0.18,0.2,0.2,0.21,0.22,0.18,0,0.03,0.02,0.02,0.03,0.02,0
"Cricket",0.09,0.09,0.11,0.01,0.12,0.01,0.04,0.02,0.09,0.03,0.09,0.07,0.07,0.03,0.07,0.07,0.07,0.07,0.02,0.06,0.07,0.08,0.07,0.04,0.08,0.07,0.02,0.06,0.07,0.1,0.05,0.06,0.08,0.04,0.08,0.05,0,0.08,0.04,0.09,0.04,0.07,0.1
"Cycling (as a recreational activity)",0.13,0.03,0.13,0.11,0.24,0.15,0.19,0.16,0.16,0.11,0.09,0.12,0.2,0.17,0.14,0.17,0.1,0.14,0.08,0.22,0,0.14,0.14,0.13,0.09,0.1,0.08,0.22,0,0.2,0.11,0.22,0.16,0.07,0.18,0.09,0,0.16,0.1,0.17,0.1,0.16,0.08
"Cycling (as a sport)",0.05,0.01,0.02,0.05,0.01,0.01,0.01,0,0.02,0.02,0.03,0.03,0.01,0.01,0.02,0.02,0.02,0.03,0,0,0,0.03,0.02,0,0.05,0.02,0,0,0,0.03,0.03,0.02,0.03,0.01,0.03,0.01,0,0.02,0.02,0.03,0.02,0.03,0.03
"Don't know",0.04,0.02,0.02,0.01,0.01,0.01,0,0,0.02,0.01,0.03,0.02,0.01,0,0.02,0.01,0.03,0.02,0,0,0,0.03,0.01,0.02,0.01,0.02,0,0,0,0.01,0.01,0.02,0.01,0.01,0.01,0.01,0,0.01,0,0.01,0.01,0,0.02
"Equestrian sports",0.01,0.02,0,0.02,0.02,0.03,0.02,0.05,0.01,0.03,0.02,0.01,0.02,0.03,0.02,0.02,0.01,0.02,0.02,0.03,0,0.01,0.04,0,0.01,0.01,0.02,0.03,0,0.02,0.01,0.03,0.02,0.02,0.01,0.02,0,0.02,0.01,0.02,0.02,0.03,0
"Football",0.63,0.19,0.5,0.17,0.23,0.01,0.04,0.02,0.4,0.1,0.45,0.39,0.13,0.03,0.28,0.25,0.33,0.29,0.17,0.25,0.29,0.3,0.22,0.28,0.49,0.16,0.17,0.25,0.29,0.28,0.32,0.12,0.34,0.1,0.37,0.14,0,0.32,0.2,0.35,0.18,0.3,0.28
"Golf",0.05,0.01,0.1,0.05,0.17,0,0.35,0.15,0.14,0.04,0.04,0.08,0.09,0.2,0.1,0.12,0.09,0.09,0.24,0.15,0.13,0.08,0.12,0.1,0.07,0.11,0.24,0.15,0.13,0.2,0.1,0.12,0.13,0.04,0.15,0.04,0,0.12,0.07,0.12,0.06,0.11,0.08
"Hockey",0.06,0.04,0.02,0.04,0.03,0,0,0.02,0.03,0.02,0.05,0.02,0.01,0.01,0.03,0.03,0.03,0.03,0.02,0,0.17,0,0.04,0.01,0.03,0.04,0.02,0,0.17,0.03,0.02,0.06,0.03,0.01,0.04,0.01,0,0.03,0.01,0.04,0.01,0.02,0.03
"Ice hockey",0.01,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0,0.01,0,0,0,0,0,0,0,0,0,0.01,0,0,0.01,0,0,0,0,0,0,0,0
"Kabaddi",0.01,0,0,0.01,0,0,0,0,0,0,0.01,0,0,0,0,0.01,0,0,0,0.02,0,0,0,0,0.01,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01
"Martial arts",0.01,0.03,0.02,0.02,0.08,0.02,0,0,0.03,0.02,0.02,0.02,0.05,0,0.03,0.04,0.01,0.02,0.1,0.02,0,0.03,0.02,0.02,0.03,0.02,0.1,0.02,0,0,0.03,0.03,0.02,0.03,0.04,0,0,0.03,0.02,0.03,0.02,0.02,0.02
"Motor Sports",0.02,0,0.01,0.01,0.04,0,0,0,0.02,0,0.01,0.01,0.02,0,0.01,0.01,0.02,0.01,0.02,0,0,0.02,0.01,0.01,0.01,0.01,0.02,0,0,0.01,0.01,0.01,0,0.01,0.01,0,0,0.01,0.02,0.01,0.02,0.01,0.03
"Netball",0.01,0.09,0.02,0.05,0,0.03,0,0,0.01,0.05,0.05,0.03,0.01,0,0.02,0.02,0.03,0.03,0,0.03,0,0.03,0.01,0,0.04,0.03,0,0.03,0,0.01,0.03,0.02,0.03,0.01,0.03,0.01,0,0.03,0.02,0.03,0.01,0.02,0.03
"Not applicable - I don't play/haven't played any sports recently",0.09,0.22,0.13,0.32,0.15,0.42,0.09,0.26,0.12,0.31,0.14,0.19,0.27,0.16,0.2,0.19,0.2,0.19,0.26,0.17,0.16,0.24,0.21,0.26,0.16,0.15,0.28,0.17,0.16,0.18,0.2,0.18,0.14,0.38,0.02,0.49,0,0.17,0.26,0.15,0.27,0.19,0.19
"Other",0.11,0.1,0.08,0.05,0.17,0.18,0.26,0.19,0.14,0.12,0.11,0.07,0.18,0.26,0.13,0.13,0.14,0.13,0.19,0.15,0.19,0.11,0.12,0.08,0.09,0.2,0.19,0.15,0.19,0.16,0.12,0.17,0.13,0.13,0.18,0.06,0,0.12,0.17,0.12,0.16,0.14,0.13
"Rowing",0.03,0,0.03,0.01,0.01,0,0,0,0.02,0,0.02,0.03,0.01,0,0.01,0.01,0.01,0.02,0.02,0.02,0,0.01,0,0,0.02,0.02,0.02,0.02,0,NA,NA,NA,NA,NA,NA,NA,NA,0.02,0,0.02,0,0.01,0
"Rugby League",0,0.02,0.01,0.01,0.01,0,0,0,0,0.01,0.01,0.01,0.01,0,0.01,0.01,0,0,0.02,0.02,0,0,0,0,0.01,0,0.02,0.02,0,0,0.02,0.01,0.01,0,0.01,0,0,0.01,0,0.01,0.01,0.01,0.01
"Rugby Union",0.02,0.05,0.02,0.01,0.02,0.01,0,0,0.02,0.02,0.04,0.02,0.01,0,0.02,0.02,0.01,0.02,0.03,0.04,0.07,0.02,0.01,0,0.01,0.02,0.03,0.04,0.07,0.01,0.02,0.05,0.02,0.02,0.02,0.01,0,0.02,0.02,0.02,0.01,0.02,0.04
"Squash",0.01,0.01,0.02,0.01,0.01,0,0,0,0.01,0.01,0.01,0.02,0.01,0,0.01,0.01,0.01,0.01,0.02,0.02,0.07,0.01,0,0,0.01,0.01,0.02,0.02,0.07,0.01,0.01,0.01,0.01,0,0,0,0,0.01,0.01,0.01,0.01,0.02,0
